year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
2018,1,46877867,0,Xiaomi,11926334,25.44
2018,1,46877867,0,Samsung,9609401,20.50
2018,1,46877867,0,Vivo,5894293,12.57
2018,1,46877867,0,Oppo,4479351,9.56
2018,1,46877867,0,Realme,2376866,5.07
2018,1,46877867,0,Apple,1825153,3.89
2018,1,46877867,0,Motorola,1593250,3.40
2018,1,46877867,0,OnePlus,1536418,3.28
2018,1,46877867,0,Lenovo,1246507,2.66
2018,1,46877867,0,Huawei,808774,1.73
2018,1,46877867,0,Others,5581520,11.91
2018,2,63648311,0,Xiaomi,16416511,25.79
2018,2,63648311,0,Samsung,12943051,20.34
2018,2,63648311,0,Vivo,8365074,13.14
2018,2,63648311,0,Oppo,6246581,9.81
2018,2,63648311,0,Realme,3165738,4.97
2018,2,63648311,0,Apple,2326897,3.66
2018,2,63648311,0,Motorola,2099718,3.30
2018,2,63648311,0,OnePlus,1890141,2.97
2018,2,63648311,0,Lenovo,1627153,2.56
2018,2,63648311,0,Huawei,1104740,1.74
2018,2,63648311,0,Others,7462707,11.72
2018,3,80010952,0,Xiaomi,20859459,26.07
2018,3,80010952,0,Samsung,16228372,20.28
2018,3,80010952,0,Vivo,11118842,13.90
2018,3,80010952,0,Oppo,8103650,10.13
2018,3,80010952,0,Realme,3962596,4.95
2018,3,80010952,0,Apple,2774989,3.47
2018,3,80010952,0,Motorola,2529272,3.16
2018,3,80010952,0,OnePlus,2231557,2.79
2018,3,80010952,0,Lenovo,1857680,2.32
2018,3,80010952,0,Huawei,1444125,1.80
2018,3,80010952,0,Others,8900410,11.12
2018,4,102262055,0,Xiaomi,26709586,26.12
2018,4,102262055,0,Samsung,20740259,20.28
2018,4,102262055,0,Vivo,14966905,14.64
2018,4,102262055,0,Oppo,10754040,10.52
2018,4,102262055,0,Realme,4997725,4.89
2018,4,102262055,0,Apple,3435529,3.36
2018,4,102262055,0,Motorola,3089947,3.02
2018,4,102262055,0,OnePlus,2668868,2.61
2018,4,102262055,0,Lenovo,2257295,2.21
2018,4,102262055,0,Huawei,1899667,1.86
2018,4,102262055,0,Others,10742234,10.50
2019,1,123432699,0,Xiaomi,32175910,26.07
2019,1,123432699,0,Samsung,25070398,20.31
2019,1,123432699,0,Vivo,18778714,15.21
2019,1,123432699,0,Oppo,13426696,10.88
2019,1,123432699,0,Realme,5948556,4.82
2019,1,123432699,0,Apple,4005092,3.24
2019,1,123432699,0,Motorola,3531217,2.86
2019,1,123432699,0,OnePlus,3042107,2.46
2019,1,123432699,0,Lenovo,2553783,2.07
2019,1,123432699,0,Huawei,2364933,1.92
2019,1,123432699,0,Others,12535293,10.16
2019,2,141808226,920413791,Xiaomi,36936092,26.05
2019,2,141808226,920413791,Samsung,28857066,20.35
2019,2,141808226,920413791,Vivo,22157338,15.62
2019,2,141808226,920413791,Oppo,15797055,11.14
2019,2,141808226,920413791,Realme,6829373,4.82
2019,2,141808226,920413791,Apple,4511382,3.18
2019,2,141808226,920413791,Motorola,3917097,2.76
2019,2,141808226,920413791,OnePlus,3331797,2.35
2019,2,141808226,920413791,Lenovo,2826639,1.99
2019,2,141808226,920413791,Huawei,2738178,1.93
2019,2,141808226,920413791,Others,13906209,9.81
2019,3,159293934,3448366103,Xiaomi,41454122,26.02
2019,3,159293934,3448366103,Samsung,32271518,20.26
2019,3,159293934,3448366103,Vivo,25597791,16.07
2019,3,159293934,3448366103,Oppo,18090143,11.36
2019,3,159293934,3448366103,Realme,7851606,4.93
2019,3,159293934,3448366103,Apple,4969855,3.12
2019,3,159293934,3448366103,Motorola,4193041,2.63
2019,3,159293934,3448366103,OnePlus,3607223,2.26
2019,3,159293934,3448366103,Huawei,3116564,1.96
2019,3,159293934,3448366103,Lenovo,2892338,1.82
2019,3,159293934,3448366103,Others,15249733,9.57
2019,4,178279085,4301071954,Xiaomi,46286972,25.96
2019,4,178279085,4301071954,Samsung,35921409,20.15
2019,4,178279085,4301071954,Vivo,29444698,16.52
2019,4,178279085,4301071954,Oppo,20682715,11.60
2019,4,178279085,4301071954,Realme,9177720,5.15
2019,4,178279085,4301071954,Apple,5361581,3.01
2019,4,178279085,4301071954,Motorola,4494286,2.52
2019,4,178279085,4301071954,OnePlus,3833328,2.15
2019,4,178279085,4301071954,Huawei,3492460,1.96
2019,4,178279085,4301071954,Lenovo,3062118,1.72
2019,4,178279085,4301071954,Others,16521798,9.27
2020,1,197575164,4768944662,Xiaomi,51004503,25.82
2020,1,197575164,4768944662,Samsung,39560399,20.02
2020,1,197575164,4768944662,Vivo,33573609,16.99
2020,1,197575164,4768944662,Oppo,23375458,11.83
2020,1,197575164,4768944662,Realme,10582375,5.36
2020,1,197575164,4768944662,Apple,5755009,2.91
2020,1,197575164,4768944662,Motorola,4756036,2.41
2020,1,197575164,4768944662,OnePlus,4027133,2.04
2020,1,197575164,4768944662,Huawei,3850925,1.95
2020,1,197575164,4768944662,Lenovo,3276777,1.66
2020,1,197575164,4768944662,Others,17812940,9.02
2020,2,218996326,4357634272,Xiaomi,56202867,25.66
2020,2,218996326,4357634272,Samsung,43708551,19.96
2020,2,218996326,4357634272,Vivo,38093292,17.39
2020,2,218996326,4357634272,Oppo,26438928,12.07
2020,2,218996326,4357634272,Realme,12034857,5.50
2020,2,218996326,4357634272,Apple,6099798,2.79
2020,2,218996326,4357634272,Motorola,5066664,2.31
2020,2,218996326,4357634272,Huawei,4210805,1.92
2020,2,218996326,4357634272,OnePlus,4176941,1.91
2020,2,218996326,4357634272,Lenovo,3472895,1.59
2020,2,218996326,4357634272,Others,19490728,8.90
2020,3,241169683,5739326491,Xiaomi,61383234,25.45
2020,3,241169683,5739326491,Samsung,48012276,19.91
2020,3,241169683,5739326491,Vivo,43182078,17.91
2020,3,241169683,5739326491,Oppo,29530065,12.24
2020,3,241169683,5739326491,Realme,13737667,5.70
2020,3,241169683,5739326491,Apple,6523683,2.71
2020,3,241169683,5739326491,Motorola,5363550,2.22
2020,3,241169683,5739326491,Huawei,4565437,1.89
2020,3,241169683,5739326491,OnePlus,4382412,1.82
2020,3,241169683,5739326491,Lenovo,3679349,1.53
2020,3,241169683,5739326491,Others,20809932,8.63
2020,4,264271293,7461623162,Xiaomi,66711711,25.24
2020,4,264271293,7461623162,Samsung,52578970,19.90
2020,4,264271293,7461623162,Vivo,48210115,18.24
2020,4,264271293,7461623162,Oppo,32684041,12.37
2020,4,264271293,7461623162,Realme,15590747,5.90
2020,4,264271293,7461623162,Apple,7052763,2.67
2020,4,264271293,7461623162,Motorola,5650618,2.14
2020,4,264271293,7461623162,Huawei,4915828,1.86
2020,4,264271293,7461623162,OnePlus,4621214,1.75
2020,4,264271293,7461623162,Lenovo,3880170,1.47
2020,4,264271293,7461623162,Others,22375116,8.47
2021,1,284985430,8635508502,Xiaomi,71553154,25.11
2021,1,284985430,8635508502,Samsung,56154585,19.70
2021,1,284985430,8635508502,Vivo,53341749,18.72
2021,1,284985430,8635508502,Oppo,35512326,12.46
2021,1,284985430,8635508502,Realme,17541519,6.16
2021,1,284985430,8635508502,Apple,7576154,2.66
2021,1,284985430,8635508502,Motorola,5792974,2.03
2021,1,284985430,8635508502,Huawei,5145488,1.81
2021,1,284985430,8635508502,OnePlus,4895538,1.72
2021,1,284985430,8635508502,Lenovo,3907304,1.37
2021,1,284985430,8635508502,Others,23564639,8.27
2021,2,305258086,9630620549,Xiaomi,75948492,24.88
2021,2,305258086,9630620549,Samsung,59144667,19.38
2021,2,305258086,9630620549,Vivo,58646521,19.21
2021,2,305258086,9630620549,Oppo,38402777,12.58
2021,2,305258086,9630620549,Realme,20619455,6.75
2021,2,305258086,9630620549,Apple,8143414,2.67
2021,2,305258086,9630620549,Motorola,5744294,1.88
2021,2,305258086,9630620549,OnePlus,5365636,1.76
2021,2,305258086,9630620549,Huawei,5068955,1.66
2021,2,305258086,9630620549,Lenovo,3768280,1.23
2021,2,305258086,9630620549,Others,24405595,8.00
2021,3,328354923,12256377890,Xiaomi,80749587,24.59
2021,3,328354923,12256377890,Vivo,65338474,19.90
2021,3,328354923,12256377890,Samsung,61299387,18.67
2021,3,328354923,12256377890,Oppo,42064749,12.81
2021,3,328354923,12256377890,Realme,24185973,7.37
2021,3,328354923,12256377890,Apple,8753177,2.67
2021,3,328354923,12256377890,OnePlus,6266945,1.91
2021,3,328354923,12256377890,Motorola,5650891,1.72
2021,3,328354923,12256377890,Huawei,5126319,1.56
2021,3,328354923,12256377890,Lenovo,3585329,1.09
2021,3,328354923,12256377890,Others,25334092,7.72
2021,4,351161395,15172529039,Xiaomi,84820436,24.15
2021,4,351161395,15172529039,Vivo,71483071,20.36
2021,4,351161395,15172529039,Samsung,63618499,18.12
2021,4,351161395,15172529039,Oppo,45569087,12.98
2021,4,351161395,15172529039,Realme,28686022,8.17
2021,4,351161395,15172529039,Apple,9883075,2.81
2021,4,351161395,15172529039,OnePlus,7178086,2.04
2021,4,351161395,15172529039,Motorola,5648173,1.61
2021,4,351161395,15172529039,Huawei,4930699,1.40
2021,4,351161395,15172529039,Tecno,3799428,1.08
2021,4,351161395,15172529039,Others,25544819,7.27
2022,1,372951831,15724195113,Xiaomi,88426997,23.71
2022,1,372951831,15724195113,Vivo,77224616,20.71
2022,1,372951831,15724195113,Samsung,65886728,17.67
2022,1,372951831,15724195113,Oppo,49093857,13.16
2022,1,372951831,15724195113,Realme,32685615,8.76
2022,1,372951831,15724195113,Apple,10780434,2.89
2022,1,372951831,15724195113,OnePlus,7974546,2.14
2022,1,372951831,15724195113,Motorola,5610140,1.50
2022,1,372951831,15724195113,Huawei,4882972,1.31
2022,1,372951831,15724195113,Tecno,4550078,1.22
2022,1,372951831,15724195113,Others,25835848,6.93
